"Initiative Name","Item Name","PO Number","CMS Job No.","Total Quantity","Delivery Country","Quantity","No. of Pallets","Size of Pallet (h x w x d)","Assembled Product Size (h x w x d)","Outer Pack Size (h x w x d)","Artwork/Promotion","Claim","Artwork Version","Die Cut Version","Artwork Due date","Actual artwork received date","Artwork approved date","Requested Delivery date","Confirmed Delivery Date","Updated Delivery Date","Actual Date Delivered","CMS POD (Y/N)","GR (Y/N)","Invoiced (Y/N)","Labelling","Delivery Address","Booking In Details","Comments","Supplier","PDF downdloaded from Box.com","Approval from Box.com","Status","Orderer","Unit Cost (EUR)","Order Total (EUR)"
"Disney Cars 3 Q3 2017 RTEC","004. 2 Facing FSDU Body","","","","Southern Europe Cluster","250","","","Height including header: 1795mm
Height of unit (excluding header): 1382mm
Height of shelf: 313mm
Width of unit: 412mm
Depth of unit: 316mm
","New outer size: 801mm x 876mm x 48mm","","","","","","2017-03-03T14:22:57.440Z","","","","","","","","","","Spain: SLI-UTI","","","","","","Order Submitted","Riccarda.Zarelli@kellogg.com","0","0.00"
"Disney Cars 3 Q3 2017 RTEC","005. 2 Facing FSDU Header (Initiative)","","","","Southern Europe Cluster","100","",""," 511mm (h) x 420mm (w) ","","","","","","","2017-03-03T14:22:57.440Z","","","","","","","","","","Portugal: DLS - Luis Simões Logistica Integrada","","","","","","Order Submitted","Riccarda.Zarelli@kellogg.com","0","0.00"
"Disney Cars 3 Q3 2017 RTEC","005. 2 Facing FSDU Header (Initiative)","","","","Southern Europe Cluster","250","",""," 511mm (h) x 420mm (w) ","","","","","","","2017-03-03T14:22:57.440Z","","","","","","","","","","Spain: SLI-UTI","","","","","","Order Submitted","Riccarda.Zarelli@kellogg.com","0","0.00"
"Disney Cars 3 Q3 2017 RTEC","007. 3 Facing FSDU Body","","","","Southern Europe Cluster","120","","","Height including header: 1777mm
Height of unit (excluding header): 1414mm
Height of shelf: 313mm
Width of unit: 617mm
Depth of unit: 316mm
","New outer size: 886mm x 976mm x 58mm","","","","","","2017-03-03T14:22:57.440Z","","","","","","","","","","Italy: DHL Supply Chain Italy","","","","","","Order Submitted","Riccarda.Zarelli@kellogg.com","0","0.00"
"Disney Cars 3 Q3 2017 RTEC","007. 3 Facing FSDU Body","","","","Southern Europe Cluster","40","","","Height including header: 1777mm
Height of unit (excluding header): 1414mm
Height of shelf: 313mm
Width of unit: 617mm
Depth of unit: 316mm
","New outer size: 886mm x 976mm x 58mm","","","","","","2017-03-03T14:22:57.440Z","","","","","","","","","","Portugal: DLS - Luis Simões Logistica Integrada","","","","","","Order Submitted","Riccarda.Zarelli@kellogg.com","0","0.00"
"Disney Cars 3 Q3 2017 RTEC","008. 3 Facing FSDU Header (Initiative)","","","","Southern Europe Cluster","120","","","511mm (h) x 625mm (w)","","","","","","","2017-03-03T14:22:57.440Z","","","","","","","","","","Italy: DHL Supply Chain Italy","","","","","","Order Submitted","Riccarda.Zarelli@kellogg.com","0","0.00"
"Disney Cars 3 Q3 2017 RTEC","008. 3 Facing FSDU Header (Initiative)","","","","Southern Europe Cluster","40","","","511mm (h) x 625mm (w)","","","","","","","2017-03-03T14:22:57.440Z","","","","","","","","","","Portugal: DLS - Luis Simões Logistica Integrada","","","","","","Order Submitted","Riccarda.Zarelli@kellogg.com","0","0.00"
"Disney Cars 3 Q3 2017 RTEC","029. Header on Pole (Initiative)","","","","Southern Europe Cluster","20","","","Header: 700mm (h) x 1170mm (w) x 70mm (d)
(as per cutter guide)

Poles:3 x 820mm (l) x 65mm (dia)
2x Poles with Spigot ends. Spigot measures 150mm. 

Base: 580mm (h) x 730mm (w)

Overall total height from the top of the header to floor is 2450mm.","","","","","","","2017-03-03T14:22:57.440Z","","","","","","","","","","Portugal: DLS - Luis Simões Logistica Integrada","","","","","","Order Submitted","Riccarda.Zarelli@kellogg.com","0","0.00"
"Disney Cars 3 Q3 2017 RTEC","029. Header on Pole (Initiative)","","","","Southern Europe Cluster","50","","","Header: 700mm (h) x 1170mm (w) x 70mm (d)
(as per cutter guide)

Poles:3 x 820mm (l) x 65mm (dia)
2x Poles with Spigot ends. Spigot measures 150mm. 

Base: 580mm (h) x 730mm (w)

Overall total height from the top of the header to floor is 2450mm.","","","","","","","2017-03-03T14:22:57.440Z","","","","","","","","","","Spain: SLI-UTI","","","","","","Order Submitted","Riccarda.Zarelli@kellogg.com","0","0.00"
"Disney Cars 3 Q3 2017 RTEC","055. Character Cutout Standee","","","","Southern Europe Cluster","100","","","","","","","","","","2017-03-03T14:22:57.440Z","","","","","","","","","","Spain: SLI-UTI","","","","","","Order Submitted","Riccarda.Zarelli@kellogg.com","",""
"Disney Cars 3 Q3 2017 RTEC","055. Character Cutout Standee","","","","Southern Europe Cluster","180","","","","","","","","","","2017-03-03T14:22:57.440Z","","","","","","","","","","Italy: DHL Supply Chain Italy","","","","","","Order Submitted","Riccarda.Zarelli@kellogg.com","",""
"Disney Cars 3 Q3 2017 RTEC","004. 2 Facing FSDU Body","","","","UK and ROI Cluster","45","","","Height including header: 1795mm
Height of unit (excluding header): 1382mm
Height of shelf: 313mm
Width of unit: 412mm
Depth of unit: 316mm
","New outer size: 801mm x 876mm x 48mm","","","","","","2017-02-27T13:45:15.547Z","","","","","","","","","","UK: CPM","","","","","","Order Submitted","Florence.Kayll@kellogg.com","0","0.00"
"Disney Cars 3 Q3 2017 RTEC","005. 2 Facing FSDU Header (Initiative)","","","","UK and ROI Cluster","45","",""," 511mm (h) x 420mm (w) ","","","","","","","2017-02-27T13:45:15.547Z","","","","","","","","","","UK: CPM","","","","","","Order Submitted","Florence.Kayll@kellogg.com","0","0.00"
"Disney Cars 3 Q3 2017 RTEC","010. 1/4 Pallet FSDU Body","","","","UK and ROI Cluster","80","","","1470mm (h) x 600mm (w) x 400mm (d)","690mm (w) x 50mm (d) x 830mm (h)","","","","","","2017-02-27T13:45:15.547Z","","","","","","","","","","UK: CPM","","","","","","Order Submitted","Florence.Kayll@kellogg.com","0","0.00"
"Disney Cars 3 Q3 2017 RTEC","011. 1/4 Pallet FSDU Header (Initiative)","","","","UK and ROI Cluster","80","","","427mm (h) x 600mm (w)","","","","","","","2017-02-27T13:45:15.547Z","","","","","","","","","","UK: CPM","","","","","","Order Submitted","Florence.Kayll@kellogg.com","0","0.00"
"Disney Cars 3 Q3 2017 RTEC","055. Character Cutout Standee","","","","UK and ROI Cluster","20","","","","","","","","","","2017-02-27T13:45:15.547Z","","","","","","","","","","UK: CPM","","","","","","Order Submitted","Florence.Kayll@kellogg.com","",""
"Disney Princesses Q3 2017","007. 3 Facing FSDU Body","","","","FraBeNeLux Cluster","680","","","Height including header: 1777mm
Height of unit (excluding header): 1414mm
Height of shelf: 313mm
Width of unit: 617mm
Depth of unit: 316mm
","New outer size: 886mm x 976mm x 58mm","","","","","","","","","","","","","","","","France, SOFTMARKETING","","","","","","","","0","0.00"
"Disney Princesses Q3 2017","008. 3 Facing FSDU Header (Initiative)","","","","FraBeNeLux Cluster","680","","","511mm (h) x 625mm (w)","","","","","","","","","","","","","","","","","France, SOFTMARKETING","","","","","","","","0","0.00"
"Disney Princesses Q3 2017","042. Totem - 1.75m (Initiative)","","","","Northern Europe Cluster","130","","","1750mm (h) x 590mm (w)"," 630mm (h) x 600mm (w) x 50mm (d)","","","","","","2017-04-20T10:06:07.713Z","","","","","","","","","","CEE Cluster (just pictures) Move Elevator GmbH","","","","","","Order Submitted","sophie.lieder@kellogg.com","0","0.00"
"Disney Princesses Q3 2017","042. Totem - 1.75m (Initiative)","","","","Northern Europe Cluster","1996","","","1750mm (h) x 590mm (w)"," 630mm (h) x 600mm (w) x 50mm (d)","","","","","","2017-04-20T10:06:07.713Z","","","","","","","","","","NE Germany, Move Elevator GmbH","","","","","","Order Submitted","sophie.lieder@kellogg.com","0","0.00"
"Disney Princesses Q3 2017","055. Character Cutout Standee","","","","Northern Europe Cluster","750","","","","","","","","","","2017-04-20T10:06:07.713Z","","","","","","","","","","CEE Cluster (just pictures) Move Elevator GmbH","","","","","","Order Submitted","sophie.lieder@kellogg.com","0","0.00"
"Disney Princesses Q3 2017","055. Character Cutout Standee","","","","Northern Europe Cluster","821","","","","","","","","","","2017-04-20T10:06:07.713Z","","","","","","","","","","NE Germany, Move Elevator GmbH","","","","","","Order Submitted","sophie.lieder@kellogg.com","0","0.00"
"Disney Princesses Q3 2017","004. Multi Use FSDU Body","","","","Southern Europe Cluster","100","","","1382mm (h) x 412mm (w) x 316mm (d)

1795mm (h) including header","801mm (h) x 876mm (w) x 48mm (d)","","","","","","","","","","","","","","","","Portugal, Luis Simoes Logistica Integrada","","","","","","","","0","0.00"
"Disney Princesses Q3 2017","004. Multi Use FSDU Body","","","","Southern Europe Cluster","250","","","1382mm (h) x 412mm (w) x 316mm (d)

1795mm (h) including header","801mm (h) x 876mm (w) x 48mm (d)","","","","","","","","","","","","","","","","Spain, DSV Solutions","","","","","","","","0","0.00"
"Disney Princesses Q3 2017","005. Multi Use FSDU Header (Initiative)","","","","Southern Europe Cluster","100","",""," 485mm (h) x 420mm (w)

","500 x 500 x 10mm","","","","","","","","","","","","","","","","Portugal, Luis Simoes Logistica Integrada","","","","","","","","0","0.00"
"Disney Princesses Q3 2017","005. Multi Use FSDU Header (Initiative)","","","","Southern Europe Cluster","250","",""," 485mm (h) x 420mm (w)

","500 x 500 x 10mm","","","","","","","","","","","","","","","","Spain, DSV Solutions","","","","","","","","0","0.00"
"Disney Princesses Q3 2017","007. 3 Facing FSDU Body","","","","Southern Europe Cluster","100","","","Height including header: 1777mm
Height of unit (excluding header): 1414mm
Height of shelf: 313mm
Width of unit: 617mm
Depth of unit: 316mm
","New outer size: 886mm x 976mm x 58mm","","","","","","","","","","","","","","","","Italy, DHL Supply Chain Italy","","","","","","","","0","0.00"
"Disney Princesses Q3 2017","007. 3 Facing FSDU Body","","","","Southern Europe Cluster","40","","","Height including header: 1777mm
Height of unit (excluding header): 1414mm
Height of shelf: 313mm
Width of unit: 617mm
Depth of unit: 316mm
","New outer size: 886mm x 976mm x 58mm","","","","","","","","","","","","","","","","Portugal, Luis Simoes Logistica Integrada","","","","","","","","0","0.00"
"Disney Princesses Q3 2017","008. 3 Facing FSDU Header (Initiative)","","","","Southern Europe Cluster","100","","","511mm (h) x 625mm (w)","","","","","","","","","","","","","","","","","Italy, DHL Supply Chain Italy","","","","","","","","0","0.00"
"Disney Princesses Q3 2017","008. 3 Facing FSDU Header (Initiative)","","","","Southern Europe Cluster","40","","","511mm (h) x 625mm (w)","","","","","","","","","","","","","","","","","Portugal, Luis Simoes Logistica Integrada","","","","","","","","0","0.00"
"Disney Princesses Q3 2017","029. Header on Pole (Initiative)","","","","Southern Europe Cluster","20","","","Header: 700mm (h) x 1170mm (w) x 70mm (d)
(as per cutter guide)

Poles:3 x 820mm (l) x 65mm (dia)
2x Poles with Spigot ends. Spigot measures 150mm. 

Base: 580mm (h) x 730mm (w)

Overall total height from the top of the header to floor is 2450mm.","","","","","","","","","","","","","","","","","Portugal, Luis Simoes Logistica Integrada","","","","","","","","0","0.00"
"Disney Princesses Q3 2017","029. Header on Pole (Initiative)","","","","Southern Europe Cluster","50","","","Header: 700mm (h) x 1170mm (w) x 70mm (d)
(as per cutter guide)

Poles:3 x 820mm (l) x 65mm (dia)
2x Poles with Spigot ends. Spigot measures 150mm. 

Base: 580mm (h) x 730mm (w)

Overall total height from the top of the header to floor is 2450mm.","","","","","","","","","","","","","","","","","Spain, DSV Solutions","","","","","","","","0","0.00"
"Disney Princesses Q3 2017","039. Corner Board - 4 per set","","","","Southern Europe Cluster","100","","","880mm (h) x 300mm (w) x 300mm (d)","900mm (h) x 625mm 9w) x 40mm (d)","","","","","","","","","","","","","","","","Spain, DSV Solutions","","","","","","","","0","0.00"
"Disney Princesses Q3 2017","042. Totem - 1.75m (Initiative)","","","","Southern Europe Cluster","100","","","1750mm (h) x 590mm (w)"," 630mm (h) x 600mm (w) x 50mm (d)","","","","","","","","","","","","","","","","Italy, DHL Supply Chain Italy","","","","","","","","0","0.00"
"Disney Princesses Q3 2017","010. 1/4 Pallet FSDU Body","","","","UK and ROI Cluster","80","","","1470mm (h) x 600mm (w) x 400mm (d)","690mm (w) x 50mm (d) x 830mm (h)","","","","","","","","","","","","","","","","UK: CPM","","","","","","","","0","0.00"
"Disney Princesses Q3 2017","011. 1/4 Pallet FSDU Header (Initiative)","","","","UK and ROI Cluster","80","","","427mm (h) x 600mm (w)","","","","","","","","","","","","","","","","","UK: CPM","","","","","","","","0","0.00"
"Disney Princesses Q3 2017","042. Totem - 1.75m (Initiative)","","","","UK and ROI Cluster","10","","","1750mm (h) x 590mm (w)"," 630mm (h) x 600mm (w) x 50mm (d)","","","","","","","","","","","","","","","","UK: CPM","","","","","","","","0","0.00"
"Disney Star Wars and Frozen","2 Facing FSDU - Dual Brand","","","","FraBeNeLux Cluster","180","","","410mm x 1246mm (including header 1556mm) x 380mm
","TBC","","","","","2015-11-21T12:00:00Z","2015-12-11 16:46","","0000-01-01T12:00:00.000Z","","","","","","","","Belgium: Schenker","","","","","","ORDER SUBMITTED","Laurent.Friedmann@kellogg.com","26.82","4827.60"
"Disney Star Wars and Frozen","Aisle Fin - Dual Brand","","","","FraBeNeLux Cluster","360","","","600mm (h) x 160mm (w)
","Must not exceed 900mm x 900mm x 172mm
","","","","","2015-11-21T12:00:00Z","2015-12-11 16:46","","0000-01-01T12:00:00.000Z","","","","","","","","Belgium: Belgicastraat","","","","","","ORDER SUBMITTED","Laurent.Friedmann@kellogg.com","2.88","1036.80"
"Disney Star Wars and Frozen","Corner Board - 4 per set - Dual Brand","","","","FraBeNeLux Cluster","340","","","900mm x 300mm x 300mm
","Must not exceed 900mm x 900mm x 172mm
","","","","","2015-11-21T12:00:00Z","2015-12-11 16:46","","0000-01-01T12:00:00.000Z","","","","","","","","France: SOFTMARKETING","","","","","","ORDER SUBMITTED","Laurent.Friedmann@kellogg.com","11.61","3947.40"
"Disney Star Wars and Frozen","Pallet Roll - Dual Brand","","","","FraBeNeLux Cluster","45","","","Image size: 980mm x 300mm
Roll length: 19,600mm (19.6m) = 20 images long.","Box size approx 200 x 200 x 320mm","","","","","2015-11-21T12:00:00Z","2015-12-11 16:46","","0000-01-01T12:00:00.000Z","","","","","","","","Belgium: Schenker","","","","","","ORDER SUBMITTED","Laurent.Friedmann@kellogg.com","24.58 ","1106.10"
"Disney Star Wars and Frozen","Pallet Roll - Frozen","","","","FraBeNeLux Cluster","3","","","Image size: 980mm x 300mm
Roll length: 19,600mm (19.6m) = 20 images long.","Box size approx 200 x 200 x 320mm

","","","","","2015-11-21T12:00:00Z","2015-12-11 16:46","","0000-01-01T12:00:00.000Z","","","","","","","","Netherlands: Schenker","","","","","","ORDER SUBMITTED","Laurent.Friedmann@kellogg.com","24.58 ","73.74"
"Disney Star Wars and Frozen","Totem 1.9m - Star Wars","","","","FraBeNeLux Cluster","50","","","1900mm x 500mm
","512 x 412 x 50mm
","","","","","2015-11-21T12:00:00Z","2015-12-11 16:46","","0000-01-01T12:00:00.000Z","","","","","","","","Netherlands: Schenker","","","","","","ORDER SUBMITTED","Laurent.Friedmann@kellogg.com","10.88","544.00"
"Disney Star Wars and Frozen","Totem Standee WITHOUT Product - Dual Brand","","","","FraBeNeLux Cluster","340","","","1500mm x 500mm","512 x 412 x 40mm
","","","","","2015-11-21T12:00:00Z","2015-12-11 16:46","","0000-01-01T12:00:00.000Z","","","","","","","","France: SOFTMARKETING","","","","","","ORDER SUBMITTED","Laurent.Friedmann@kellogg.com","11.89 ","4042.60"
"Disney Star Wars and Frozen","Totem Standee WITHOUT Product - Dual Brand","","","","FraBeNeLux Cluster","60","","","1500mm x 500mm","512 x 412 x 40mm
","","","","","2015-11-21T12:00:00Z","2015-12-11 16:46","","0000-01-01T12:00:00.000Z","","","","","","","","Belgium: Schenker","","","","","","ORDER SUBMITTED","Laurent.Friedmann@kellogg.com","11.89 ","713.40"
"Disney Star Wars and Frozen","Totem/Standee 1.9m - Frozen","","","","FraBeNeLux Cluster","50","","","1900mm x 1600mm","710mm x 630mm x 430mm","","","","","2015-11-21T12:00:00Z","2015-12-11 16:46","","0000-01-01T12:00:00.000Z","","","","","","","","Netherlands: Schenker","","","","","","ORDER SUBMITTED","Laurent.Friedmann@kellogg.com","10.88","544.00"
"Disney Star Wars and Frozen","Wobbler - Dual Brand","","","","FraBeNeLux Cluster","900","","","120mm x 120mm
","Packed in 10's","","","","","2015-11-21T12:00:00Z","2015-12-11 16:46","","0000-01-01T12:00:00.000Z","","","","","","","","Belgium: Belgicastraat","","","","","","ORDER SUBMITTED","Laurent.Friedmann@kellogg.com","0.73 ","657.00"
"Disney Star Wars and Frozen","Wobbler - Frozen","","","","FraBeNeLux Cluster","50","","","120mm x 120mm
","Must not exceed 900mm x 900mm x 172mm
","","","","","2015-11-21T12:00:00Z","2015-12-11 16:46","","0000-01-01T12:00:00.000Z","","","","","","","","Netherlands: Schenker","","","","","","ORDER SUBMITTED","Laurent.Friedmann@kellogg.com","0.73 ","36.50"
"Disney Star Wars and Frozen","Wobbler - Star Wars","","","","FraBeNeLux Cluster","50","","","120mm x 120mm","Bagged in 10s in envelopes.","","","","","2015-11-21T12:00:00Z","2015-12-11 16:46","","0000-01-01T12:00:00.000Z","","","","","","","","Netherlands: Schenker","","","","","","ORDER SUBMITTED","Laurent.Friedmann@kellogg.com","0.73","36.50"
"Disney Star Wars and Frozen","Corner Board - 4 per set - Frozen","","","","Northern Europe Cluster","1","","","900mm x 300mm x 300mm
","Must not exceed 900mm x 900mm x 172mm
","","","","","2015-11-21T12:00:00Z","2015-12-11 11:53","","0000-01-01T12:00:00.000Z","","","","","","","","Germany: Move Elevator GmbH & Co.","","","","","","ORDER SUBMITTED","Holger.Eilers@kellogg.com","11.61 ","11.61"
"Disney Star Wars and Frozen","Corner Board - 4 per set - Star Wars","","","","Northern Europe Cluster","1","","","900mm x 300mm x 300mm
","Must not exceed 900mm x 900mm x 172mm
","","","","","2015-11-21T12:00:00Z","2015-12-11 11:53","","0000-01-01T12:00:00.000Z","","","","","","","","Germany: Move Elevator GmbH & Co.","","","","","","ORDER SUBMITTED","Holger.Eilers@kellogg.com","11.61","11.61"
"Disney Star Wars and Frozen","Totem 1.9m - Dual Brand","","","","Northern Europe Cluster","900","","","1900mm x 500mm
","512 x 412 x 50mm
","","","","","2015-11-21T12:00:00Z","2015-12-11 11:53","","0000-01-01T12:00:00.000Z","","","","","","","","Germany: Move Elevator GmbH & Co.","","","","","","ORDER SUBMITTED","Holger.Eilers@kellogg.com","10.88","9792.00"
"Disney Star Wars and Frozen","Totem 1.9m - Star Wars","","","","Northern Europe Cluster","1500","","","1900mm x 500mm
","512 x 412 x 50mm
","","","","","2015-11-21T12:00:00Z","2015-12-11 11:53","","0000-01-01T12:00:00.000Z","","","","","","","","Germany: Move Elevator GmbH & Co.","","","","","","ORDER SUBMITTED","Holger.Eilers@kellogg.com","10.88","16320.00"
"Disney Star Wars and Frozen","Totem/Standee 1.9m - Frozen","","","","Northern Europe Cluster","1200","","","1900mm x 1600mm","710mm x 630mm x 430mm","","","","","2015-11-21T12:00:00Z","2015-12-11 11:53","","0000-01-01T12:00:00.000Z","","","","","","","","Germany: Move Elevator GmbH & Co.","","","","","","ORDER SUBMITTED","Holger.Eilers@kellogg.com","10.88","13056.00"
"Disney Star Wars and Frozen"," Full Pallet Wrap EU - Dual Brand","","","","Southern Europe Cluster","100","","","EU: 1450mm x 1200mm x 800mm","Must not exceed 900mm x 900mm x 172mm
","","","","","2015-11-21T12:00:00Z","","","0000-01-01T12:00:00.000Z","","","","","","","","Portugal: DLS - Luis Simões Logistica Integrada","","","","","","ARTWORK SUBMITTED","Riccarda.Zarelli@kellogg.com","64.14","6414.00"
"Disney Star Wars and Frozen","2 Facing FSDU - Dual Brand","","","","Southern Europe Cluster","300","","","410mm x 1246mm (including header 1556mm) x 380mm
","TBC","","","","","2015-11-21T12:00:00Z","","","0000-01-01T12:00:00.000Z","","","","","","","","Portugal: DLS - Luis Simões Logistica Integrada","","","","","","ARTWORK SUBMITTED","Riccarda.Zarelli@kellogg.com","26.82","8046.00"
"Disney Star Wars and Frozen","Corner Board - 4 per set - Dual Brand","","","","Southern Europe Cluster","100","","","900mm x 300mm x 300mm
","Must not exceed 900mm x 900mm x 172mm
","","","","","2015-11-21T12:00:00Z","","","0000-01-01T12:00:00.000Z","","","","","","","","Portugal: DLS - Luis Simões Logistica Integrada","","","","","","ARTWORK SUBMITTED","Riccarda.Zarelli@kellogg.com","11.61","1161.00"
"Disney Star Wars and Frozen","Corner Board - 4 per set - Star Wars","","","","Southern Europe Cluster","1","","","900mm x 300mm x 300mm
","Must not exceed 900mm x 900mm x 172mm
","","","","","2015-11-21T12:00:00Z","","","0000-01-01T12:00:00.000Z","","","","","","","","Spain: SLI-UTI","","","","","","ARTWORK SUBMITTED","Riccarda.Zarelli@kellogg.com","11.61","11.61"
"Disney Star Wars and Frozen","Corner Board - 4 per set - Star Wars","","","","Southern Europe Cluster","200","","","900mm x 300mm x 300mm
","Must not exceed 900mm x 900mm x 172mm
","","","","","2015-11-21T12:00:00Z","","","0000-01-01T12:00:00.000Z","","","","","","","","Italy: DHL Supply Chain Italy","","","","","","ARTWORK SUBMITTED","Riccarda.Zarelli@kellogg.com","11.61","2322.00"
"Disney Star Wars and Frozen","Large Display Header with Front and back POSM - Frozen","","","","Southern Europe Cluster","1","","","Header 700 x 1400mm
Back & Front 1800 x 200 x 800mm
                                                                                                                             PALLET SKIRT/ROLL MUST BE ORDERED SEPARATELY IF REQUIRED !!
","Pack size is: 930 x 842 x 200mm","","","","","2015-11-21T12:00:00Z","","","0000-01-01T12:00:00.000Z","","","","","","","","Portugal: DLS - Luis Simões Logistica Integrada","","","","","","ARTWORK SUBMITTED","Riccarda.Zarelli@kellogg.com","61.07 ","61.07"
"Disney Star Wars and Frozen","Pallet Roll - Dual Brand","","","","Southern Europe Cluster","120","","","Image size: 980mm x 300mm
Roll length: 19,600mm (19.6m) = 20 images long.","Box size approx 200 x 200 x 320mm","","","","","2015-11-21T12:00:00Z","","","0000-01-01T12:00:00.000Z","","","","","","","","Portugal: DLS - Luis Simões Logistica Integrada","","","","","","ARTWORK SUBMITTED","Riccarda.Zarelli@kellogg.com","24.58 ","2949.60"
"Disney Star Wars and Frozen","Pallet Roll - Star Wars","","","","Southern Europe Cluster","1","","","Image size: 980mm x 300mm
Roll length: 19,600mm (19.6m) = 20 images long.","Box size approx 200 x 200 x 320mm
","","","","","2015-11-21T12:00:00Z","","","0000-01-01T12:00:00.000Z","","","","","","","","Spain: SLI-UTI","","","","","","ARTWORK SUBMITTED","Riccarda.Zarelli@kellogg.com","24.58 ","24.58"
"Disney Star Wars and Frozen","Quarter Pallet FSDU (3 wide) WITHOUT PREMIA - Star Wars","","","","Southern Europe Cluster","100","","","1470mm x 600mm x 400mm
","","","","","","2015-11-21T12:00:00Z","","","0000-01-01T12:00:00.000Z","","","","","","","","Italy: DHL Supply Chain Italy","","","","","","ARTWORK SUBMITTED","Riccarda.Zarelli@kellogg.com","27.99 ","2799.00"
"Disney Star Wars and Frozen","Quarter Pallet FSDU (3 wide) WITHOUT PRIMIA - Dual Brand","","","","Southern Europe Cluster","1","","","1470mm x 600mm x 400mm
","","","","","","2015-11-21T12:00:00Z","","","0000-01-01T12:00:00.000Z","","","","","","","","Spain: SLI-UTI","","","","","","ARTWORK SUBMITTED","Riccarda.Zarelli@kellogg.com","27.99 ","27.99"
"Disney Star Wars and Frozen","Quarter Pallet FSDU (3 wide) WITHOUT PRIMIA - Dual Brand","","","","Southern Europe Cluster","100","","","1470mm x 600mm x 400mm
","","","","","","2015-11-21T12:00:00Z","","","0000-01-01T12:00:00.000Z","","","","","","","","Portugal: DLS - Luis Simões Logistica Integrada","","","","","","ARTWORK SUBMITTED","Riccarda.Zarelli@kellogg.com","27.99 ","2799.00"
"Disney Star Wars and Frozen","Totem Standee WITHOUT Product - Dual Brand","","","","Southern Europe Cluster","50","","","1500mm x 500mm","512 x 412 x 40mm
","","","","","2015-11-21T12:00:00Z","","","0000-01-01T12:00:00.000Z","","","","","","","","Portugal: DLS - Luis Simões Logistica Integrada","","","","","","ARTWORK SUBMITTED","Riccarda.Zarelli@kellogg.com","11.89 ","594.50"
"Disney Star Wars and Frozen","Totem Standee WITHOUT Product - Star Wars","","","","Southern Europe Cluster","1","","","1500mm x 500mm
","512 x 412 x 40mm
","","","","","2015-11-21T12:00:00Z","","","0000-01-01T12:00:00.000Z","","","","","","","","Spain: SLI-UTI","","","","","","ARTWORK SUBMITTED","Riccarda.Zarelli@kellogg.com","11.89 ","11.89"
"Disney Star Wars and Frozen","Totem Standee WITHOUT Product - Star Wars","","","","Southern Europe Cluster","200","","","1500mm x 500mm
","512 x 412 x 40mm
","","","","","2015-11-21T12:00:00Z","","","0000-01-01T12:00:00.000Z","","","","","","","","Italy: DHL Supply Chain Italy","","","","","","ARTWORK SUBMITTED","Riccarda.Zarelli@kellogg.com","11.89 ","2378.00"
"Disney Star Wars and Frozen","Wobbler - Dual Brand","","","","Southern Europe Cluster","0","","","120mm x 120mm
","Packed in 10's","","","","","2015-11-21T12:00:00Z","","","0000-01-01T12:00:00.000Z","","","","","","","","Portugal: DLS - Luis Simões Logistica Integrada","","","","","","ARTWORK SUBMITTED","Riccarda.Zarelli@kellogg.com","0.73 ","0.00"
"Disney Star Wars and Frozen","Wobbler - Star Wars","","","","Southern Europe Cluster","1","","","120mm x 120mm","Bagged in 10s in envelopes.","","","","","2015-11-21T12:00:00Z","","","0000-01-01T12:00:00.000Z","","","","","","","","Spain: SLI-UTI","","","","","","ARTWORK SUBMITTED","Riccarda.Zarelli@kellogg.com","0.73","0.73"
"Disney Star Wars and Frozen","1/4 pallet FSDU (3  wide) WITHOUT PRIMIA - Frozen","","","","UK and ROI Cluster","1","","","1470mm x 600mm x 400mm
","Must not exceed 900mm x 900mm x 172mm
","","","","","2015-11-21T12:00:00Z","","","0000-01-01T12:00:00.000Z","","","","","","","","ROI: Hawthorn Logistics Solutions","","","","","","ARTWORK SUBMITTED","robert.radford@kellogg.com","27.99 ","27.99"
"Disney Star Wars and Frozen","1/4 pallet FSDU (3  wide) WITHOUT PRIMIA - Frozen","","","","UK and ROI Cluster","1","","","1470mm x 600mm x 400mm
","Must not exceed 900mm x 900mm x 172mm
","","","","","2015-11-21T12:00:00Z","","","0000-01-01T12:00:00.000Z","","","","","","","","UK: CPM","","","","","","ARTWORK SUBMITTED","robert.radford@kellogg.com","27.99 ","27.99"
"Disney Star Wars and Frozen","2 Facing FSDU - Dual Brand","","","","UK and ROI Cluster","0","","","410mm x 1246mm (including header 1556mm) x 380mm
","TBC","","","","","2015-11-21T12:00:00Z","","","0000-01-01T12:00:00.000Z","","","","","","","","ROI: Hawthorn Logistics Solutions","","","","","","ARTWORK SUBMITTED","robert.radford@kellogg.com","26.82","0.00"
"Disney Star Wars and Frozen","2 Facing FSDU - Dual Brand","","","","UK and ROI Cluster","0","","","410mm x 1246mm (including header 1556mm) x 380mm
","TBC","","","","","2015-11-21T12:00:00Z","","","0000-01-01T12:00:00.000Z","","","","","","","","UK: CPM","","","","","","ARTWORK SUBMITTED","robert.radford@kellogg.com","26.82","0.00"
"Disney Star Wars and Frozen","2 Facing FSDU - Frozen","","","","UK and ROI Cluster","0","","","410mm x 1246mm (including header 1556mm) x 380mm
","TBC","","","","","2015-11-21T12:00:00Z","","","0000-01-01T12:00:00.000Z","","","","","","","","ROI: Hawthorn Logistics Solutions","","","","","","ARTWORK SUBMITTED","robert.radford@kellogg.com","26.82","0.00"
